model,split,rmse,mae
Ridge,val,2.625660132100684,1.34508216381073
Ridge,test,1.7201399991257709,0.8410029411315918
RandomForest,val,2.288090675680673,1.1827189306277366
RandomForest,test,1.5655076712929503,0.8080999620414748
XGBoost,val,2.232427962487599,1.1717005968093872
XGBoost,test,1.536016014785527,0.788144588470459
MLP,val,2.248593314513206,1.1688655614852903
MLP,test,1.5643003391520336,0.7924443483352661
LightGBM,val,2.13696374488502,1.1286066108752149
LightGBM,test,1.503401977170319,0.7688510654286991
LightGBM_tuned,val,2.0979885384325803,1.0988570964796773
LightGBM_tuned,test,1.500867685211481,0.7586406683697918
