model,frac,n_train,val_rmse
Ridge,0.1,3814226,2.625539724176955
XGBoost,0.1,3814226,2.245498392563633
LightGBM,0.1,3814226,2.172004403086863
RandomForest,0.1,3814226,2.2927645478865983
Ridge,0.2,7628452,2.6357731232553743
XGBoost,0.2,7628452,2.2392401380544302
LightGBM,0.2,7628452,2.1578663846765114
RandomForest,0.2,7628452,2.2797853112268736
Ridge,0.4,15256905,2.667347960067393
XGBoost,0.4,15256905,2.2365115960833477
LightGBM,0.4,15256905,2.1454668271480712
RandomForest,0.4,10000000,2.2754105846632746
Ridge,0.6,22885358,2.6810262911288962
XGBoost,0.6,22885358,2.2343971944920415
LightGBM,0.6,22885358,2.138147896391646
RandomForest,0.6,10000000,2.2754976953553845
Ridge,0.8,30513811,2.6911619211145097
XGBoost,0.8,30513811,2.2322050641792215
LightGBM,0.8,30513811,2.139288325404206
RandomForest,0.8,10000000,2.2750155448089044
Ridge,1.0,38142264,2.698501602056458
XGBoost,1.0,38142264,2.2309006575109662
LightGBM,1.0,38142264,2.138019111201866
RandomForest,1.0,10000000,2.27578843885732
